"equipment_id","serial_number","year","description","ownership","hours","contract_id","notes","status","location_id"
"WL3-03","FNH321FHWMHP03582",2022,"Case 321F Wheel Loader","Financed",355,56,"","Active",1
"WL2-04","KMTWA136AMA085178",2021,"Komatsu 270 Wheel Loader","Financed",980,64,"","Active",8
"WL2-03","KMTWA135TMNA39974",2022,"Komatsu 320 Wheel Loader","Financed",1008,63,"","Active",11
"WL2-02","A29684",2022,"Komatsu 270 Wheel Loader","Financed",1143,67,"","Active",1
"WL2-01","A29682",2022,"Komatsu 270 Wheel Loader","Financed",922,67,"","Active",1
"WC-1","IVR2130P861000111",0,"Vermeer BC1400 TX Wood","Owned",0,,"","Active",15
"WC-02","-12",0,"Morbark Woood Chipper","Financed",0,95,"","Active",1
"T3-01","-11",0,"John Deere 4105","Unknown",0,,"","Active",16
"SST-23","KBCZ021CVL1L15226",2021,"Kubota Loader Skidsteer","InterCo",0,107,"","Active",16
"SST-22","JAFTV450VNM409670",0,"Case TV450B Skidsteer","Financed",0,55,"","Active",1
"SST-15","CAT0289DJ JX907727",0,"CAT 289 D3 Skidsteer","Financed",0,24,"Current location - Yorkshire Farms","Active",19
"SST-14","JAFTV450ANM411661",0,"Case 450 Skidsteer","Financed",0,128,"Current location - Sagemore Chris Stockley's residence","Active",19
"SST-13","B4CE16564",0,"Bobcat T76 Skidsteer","Leased",0,,"Current location - Doug Hager's","Active",19
"SST-12","JX909611",0,"CAT 289D Skidsteer","InterCo",0,87,"","Active",18
"SST-11","CAT0259DPCW916660",0,"CAT 259 Skidsteer","Financed",0,25,"","Active",11
"SST-10","CW919589",0,"CAT 259D3 Skidsteer","Financed",0,7,"","Active",8
"SST-09","CAT0259D3 CW919604",0,"CAT 259 Skidsteer","Financed",0,7,"","Active",1
"SST-08","CAT0289DLJX910326",0,"CAT 289 Skidsteer","InterCo",0,115,"","Active",1
"SST-07","JAFTV450ANM411983",0,"Case 450 Skidsteer","Financed",0,128,"","Active",15
"SST-06","10101",0,"Kubota SVL90-2","InterCo",0,31,"","Active",1
"SST-05","A7MP63637",0,"Bobcat T320 Skidsteer","Owned",0,,"","Active",1
"SST-04","JAFTR340HLM485078",0,"Case TR340B","Financed",0,46,"","Active",18
"SST-03","AN8L13457",0,"Bobcat T870 Skidsteer","Owned",0,,"Currently located at Judas Road Farm","Active",19
"SST-02","JAFTV450VNM411979",0,"Case 450 Skidsteer","Financed",0,55,"","Active",1
"SST-01","1T0333GMPKF356055",0,"John Deere 333G Skidsteer","Financed",0,124,"","Active",1
"SAW-05","42380112821",0,"Stihl Saw TS420","-",0,,,"Active",
"SAW-03","192341902",0,"Brick Saw TS420","-",0,,,"Active",
"SAW-02","-10",0,"Stihl Pipesaw TS420","-",0,,,"Active",
"SAW-01","42680112821",0,"Stihl Saw TS420","-",0,,,"Active",
"RT1-02","-9",0,"Bomag Trench Roller","Financed",0,,,"Active",
"RT1-01","135736",0,"Bomag Trench Roller","-",0,,,"Active",
"RT-10","-8",0,"Bomag 8500 Trench Roller","-",0,,,"Active",
"RT-09","-25",2016,"Bomag BMP 8500 Trench Roller","-",0,,,"Active",
"RT-08","-24",0,"Bomag BT50 Trench Roller","-",0,,,"Active",
"RT-06","-23",0,"Bomag BT50 Trench Roller","-",0,,,"Active",
"RT-05","-22",0,"Bomag BT50","-",0,,,"Active",
"RT-04","-21",0,"Bomag 8500 Trench Roller","-",0,,,"Active",
"RT-03","-20",0,"Bomag BMP 8500 Trench Roller","-",0,,,"Active",
"RT-02","746358",0,"Bomag 8500 Trench Roller","-",0,,,"Active",
"RT-01","-19",0,"Bomag BMP 8500 Trench Roller","-",0,,,"Active",
"RS3-10","DDDS211ENM3009783",0,"Case SV211E Padfoot Roller","Financed",0,53,"","Active",1
"RS3-01","3SV56-101-45",0,"Sakai SV544D Smooth Drum Roller","Financed",0,92,"","Active",1
"RS2-03","WGH0H222VHAA02406",0,"HAMM H7I SMOTH DRUM RO","Financed",0,39,"","Active",1
"RP3-10","DDDS207ENLNTK3079",0,"Case SV207E Padfoot Roller","Financed",0,54,"","Active",1
"RP2-06","DDDS208DNKWTA2248",2017,"Case SV 208D Padfoot Roller","Financed",915,127,"","Active",1
"RP2-05","DVDS211ENM3020362",2022,"Case CV 211E Padfoot Roller","Financed",0,55,"","Active",8
"RP1-03","DDDS211ENM3020125",2022,"Case SV211E Padfoot Roller","Financed",456,54,"","Active",1
"RP1-02","DDDS212DNHWTB3016",0,"Case SV 212D Padfoot Roller","Financed",0,51,"","Active",1
"RP1-01","CAT0815FTBYN01113",2015,"CAT 815 Padfoot Roller","Financed",5956,106,"","Active",5
"RD1-01","H1990498",2020,"DOUBLE DRUM ROLLER-HAM","Financed",135,30,"","Active",1
"PV1-02","350770",0,"Lee Boy Paver 8616D","Financed",0,129,"","Active",1
"PV1-01","-7",0,"Lee Boy 8510 Paver","Owned",0,,"","Active",1
"PMP-02","747166",0,"Multi Quip 2"" Sump Pump","-",0,,,"Active",
"PMP-01","24320772",0,"Wacker Neuson Trash Pump - 4""","InterCo",0,41,"","Active",16
