"contract_id","lender","owned_company","contract_number","down_payment","financed_amount","interest_rate","loan_term","monthly_payment","remaining_payments","start_date","loan_satisfied_date","loan_status","link_to_contract"
1,"Ally Auto","Land Crafters","228-1286-85904",,27222.75,8.49,60,560.34,,"2022-08-31",,"Active",
2,"Ally Auto","Land Crafters","228-0931-44939",,80300.1,5.84,60,1550.2,,"2022-03-31",,"Active",
3,"Ally Auto","Land Crafters","228-1244-15775",,76419.38,17.99,72,1755.39,,"2022-08-10",,"Active",
4,"Ally Auto","Land Crafters","228-1284-75831",,53088.78,8.49,60,1092.76,,"2022-08-31",,"Active",
5,"Ally Auto","Land Crafters","228-1289-05761",,53088.78,8.49,60,1092.76,,"2022-08-31",,"Active",
6,"Ally Auto","Nest Homes","228-1288-35812",,66442.82,7.99,75,1128.32,,"2022-03-31",,"Active",
7,"Amur","Sidenbury Holdings","1084536",,148747.58,,72,2803.72,,,,"Active",
8,"Amur","Nest Homes","1074848",,233341.62,,60,4948.5,,,,"Active",
9,"Balboa Capital","Nest Homes","350115-001",0,32735.1,7.95,48,798.39,,,,"Active",
10,"Balboa Capital","Nest Homes","350115-002",0,23445,7.95,36,734.14,,,,"Active",
11,"Balboa Capital","Nest Homes","350115-003",0,84894.25,7,60,1681.01,,,,"Active",
12,"Balboa Capital","Nest Homes","350115-005",0,9075,7,24,406.31,,"2021-10-29",,"Satisfied",
13,"Balboa Capital","Nest Homes","350115-006",0,23495,8.95,60,487.15,,"2021-11-23",,"Active",
14,"Balboa Capital","Nest Homes","350115-007",0,52660,8.95,36,1673.35,,"2021-11-24",,"Active",
15,"Balboa Capital","Nest Homes","350115-009",0,37885.1,7.69,60,762.56,,"2022-01-15",,"Active",
16,"Balboa Capital","Nest Homes","350115-010",0,46307.51,7.69,60,932.09,,"2022-01-20",,"Active",
17,"Balboa Capital","Nest Homes","350115-011",0,41495.25,7.69,60,835.23,,"2022-01-20",,"Active",
18,"Balboa Capital","Nest Homes","350115-012",0,98028.5,7.69,60,1973.15,,"2022-01-28",,"Active",
