lender,owned_company,contract_number,down_payment,financed_amount,interest_rate,loan_term,monthly_payment,remaining_payments,start_date
Flag Star Bank (Signature Financial),Nest Homes,124289001,,308335.12,5.99,48,7258.91,,3/10/22
Flag Star Bank (Signature Financial),Nest Homes,124289002,,207172.5,6.39,48,4913.24,,4/10/22
Flag Star Bank (Signature Financial),Nest Homes,124289003,,193962.26,6.39,60,3802.57,,5/10/22
Flag Star Bank (Signature Financial),Nest Homes,124289004,,316066.67,6.39,60,6186.57,,5/10/22
Flag Star Bank (Signature Financial),Nest Homes,124289005,,316006.67,6.82,60,6239.29,,6/10/22
Flag Star Bank (Signature Financial),Nest Homes,124289006,,489351.41,6.82,60,9704.54,,7/10/22
HomeTrust Bank,Land Crafters,105459-001,,232253.7,4.5,60,4331.53,,12/1/21
HomeTrust Bank,Land Crafters,105459-002,,98094.5,4.75,48,2251.2,,2/1/22
Huntington,Land Crafters,001-0854565-500,,234978.45,4.75,60,4407.47,,12/31/21
Isuzu Finance of America,,LN140850,,,,,,,
John Deere Financial,,13789077,,,,,,,
John Deere Financial,,510002121546,,,,,,,
John Deere Financial,,510002175423,,,,,,,
John Deere Financial,,510002387016,,,,,,,
Leaf Captial Funding,,100-7284581-001,,,,,,,
Mitsubishi,,006-0363742-001,,69988.06,8.5,60,1440.59,,
Mitsubishi,,006-0363742-002,,,,,,,
Mitsubishi,,006-0363742-003,,,,,,,
Mitsubishi,,006-0363742-004,,,,,,,
Mitsubishi,,006-0363742-005,,,,,,,
Mitsubishi,,006-0363742-006,,,,,,,
Mitsubishi,,006-0363742-007,,,,,,,
Pathward (formerly Crestmark),,505902-1,,,,,,,
Pathward (formerly Crestmark),,505902-3,,,,,,,
Pathward (formerly Crestmark),,508613-1,,,,,,,
PNC Equipment Finance,,191212,,,,,,,
"PNC Equipment Finance, LLC",,193927,,,,,,,
US Bank,,507-0008987-000,,,,,,,
US Bank,,507-0009002-000,,,,,,,
US Bank,,507-0008892-000,,,,,,,
US Bank,,507-0010875-000,,,,,,,
Wells Fargo,,450-0018392,,,,,,,
Balboa Capital,Land Crafters,393586-000,,,,,,,
Balboa Capital,Land Crafters,393586-001,,,,,,,
Blue Bridge Financial,,145797,,,,,,,
Carolina Farm Credit,,,,,,,,,
De Lage Landen Financial Services,,500-50407275,,,,,,,
De Lage Landen Financial Services,,500-50407679,,,,,,,
GM Financial,,3766,,,,,,,
GM Financial,,9829,,,,,,,
First Financial Holdings LLC,,10721-001,,,,,,,
First Financial Holdings LLC,,10721-002,,,,,,,
Ford Motor Company,,61105631,,,,,,,
Ford Motor Company,,62004322,,,,,,,
Midland Equipment Finance,,827-239573-002,,,,,,,
Park National,,1994,,,,,,,
Park National,,2017,,,,,,,
Sheffield,,,,,,,,,
