"equipment_id","vin","year","description","ownership","mileage","contract_id","notes","status","driver_id"
"PU1-01","3GCUYBEF9MG164979",2021,"Chervolet Silverado 1500 Custom Crew Cab","InterCo",94424,18,"","Active",
"PU1-03","1FTRF122X7NA46894",2007,"Ford F-150 Regular Cab","Owned",0,,"Totaled vehicle","Inactive",
"PU1-05","2GCEK19T621273650",2002,"Chevrolet Silverado 1500 Extended Cab Short Bed","Owned",282968,73,"","Active",6
"PU1-06","1FTEW1EP0MFA22793",2021,"Ford F-150 XL Supercrew Cab","Newly Owned",89000,,"","Active",
"PU1-08","1C6SRFHT9KN691624",2019,"Dodge Ram 1500 Limited Crew Cab","Financed",151000,43,"","Active",
"PU1-10","1GCPDDEK6NZ587957",2022,"Chevrolet Silverado 1500 LT Crew Cab","Financed",22126,4,"","Active",
"PU1-11","1GCPDDEK5NZ588422",2022,"Chevrolet Silverado 1500 LT Crew Cab","Financed",25987,5,"","Active",7
"PU1-13","3GCUKSEC5JG410753",2018,"Chevrolet Silverado 1500 LTZ Crew Cab","InterCo",112930,18,"","Active",8
"PU1-14","1GB1KUEG3HF139354",2017,"Chevrolet Silverado 2500HD Work Truck Crew Cab","Financed",147412,44,"","Active",
"PU1-15","3GCUKREC6JG553901",2018,"Chevrolet Silverado 1500 LT Crew Cab","InterCo",86827,103,"","Active",
"PU1-17","3GCPDDEK3PG243764",2023,"Chevrolet Silverado 1500 LT Crew Cab","Financed",14792,59,"","Active",
"PU1-18","3GCPDDEK7PG243766",2023,"Chevrolet Silverado 1500 LT Crew Cab","Financed",0,60,"","Active",9
"PU1-19","1FTRF12207NA38058",2007,"Ford F-150 Regular Cab","Unknown",28845,,"","Active",
"PU1-20","1GCPYAEKXNZ194532",2022,"Chevrolet Silverado 1500 Limited Crew Cab","Financed",49882,101,"","Active",
"PU1-21","1GCPDDEK0PZ225741",2023,"Chevrolet Silverado 1500 LT Crew Cab","Financed",0,72,"","Active",3
"PU1-22","3GCUDEED7NG527812",2022,"Chevrolet Silverado 1500 RST Crew Cab","Financed",0,100,"","Active",4
"PU1-23","1FTEW1E51LFA00427",2020,"Ford F-150 Supercrew Cab","InterCo",0,16,"","Active",10
"PU1-25","1GCPYFEL1MZ124910",2021,"Chevrolet Silverado 1500 LT Trail Boss Crew Cab","Owned",0,,"","Active",
"PU1-26","1FTRX12W28FC07122",2008,"Ford F-150 Super Cab","InterCo",287168,13,"","Active",
"PU1-27","1GCRDEED0PZ241177",2023,"Chevrolet Silverado 1500 RST Double Cab","Financed",14042,61,"","Active",11
"PU1-28","1HTKHPVK7NH460854",2022,"Chevrolet 5500","Financed",43685,99,"","Active",
"PU1-29","1GTP9EELXKZ267259",2019,"GMC Sierra Crew Cab AT4","Unknown",0,,"","Active",2
"PU1-33","3GCUKNEC6JG602975",2018,"Chevrolet Silverado 1500 Work Truck Crew Cab","Financed",114678,1,"","Active",
"PU1-34","1GCPYFEL6MZ121114",2021,"Chevrolet Silverado 1500 LT Trail Boss Crew Cab","Financed",50000,6,"","Active",
"PU1-35","1GCRYBEF1KZ236003",2019,"Chevrolet Silverado 1500 Custom Double Cab","Owned",0,,"","Active",12
"PU1-36","1GCRYDED2KZ196041",2019,"Chevroler Silverado 1500 LT Double Cab","InterCo",89438,103,"","Active",
"PU1-40","54DBDJ1B0KS810346",2019,"Chevrolet Landscape Dovetail","Financed",0,94,"","Active",13
"PU2-01","3C6UR5DL7HG730513",2017,"Dodge Ram 2500 SLT Crew Cab","InterCo",140513,11,"","Active",14
"PU2-04","1FT7W2BT0GEB16392",2016,"Ford F-250 XLT Super Duty Crew Cab","Owned",298910,,"","Active",
"PU2-05","1FT7W2BT4GEB47953",2016,"Ford F-250 XLT Super Duty Crew Cab","InterCo",184456,37,"","Active",15
"PU2-06","1FTSW21P56EB47246",2006,"Ford F-250 Super Duty Crew Cab","InterCo",208353,10,"","Active",
"PU2-07","3C6UR5DLXFG593189",2015,"Dodge Ram 2500 SLT Crew Cab","InterCo",0,103,"","Active",16
"PU2-08","1GB8CZBK8AZ270060",2010,"Chevrolet Silverado 3500HD Work Truck Extended Cab","InterCo",208353,36,"","Active",
"PU2-09","1FT7W2BT2HEE56239",2017,"Ford F-250 XL Super Duty Crew Cab","InterCo",0,37,"","Active",17
"PU2-10","1GB4KYC80FF105160",2015,"Chevrolet K3500","Financed",119381,21,"","Active",
"PU2-11","3C7WDLEL2CG160788",2012,"Dodge Ram 4500","InterCo",258988,9,"","Active",
"PU2-12","1FDWX36P25EB95794",2005,"Ford F-350","Financed",0,93,"","Active",18
"PU2-13","1HTKHPVK3NH460463",2022,"Chevrolet Silverado 4500HD","Financed",0,3,"","Active",
"PU2-14","2NKHHM6X0FM438860",2015,"Kenworth Service Truck","InterCo",213576,34,"","Active",19
"PU2-18","1FT7W2B66HEB89004",2017,"Ford F-250 Lariat Super Duty Crew Cab","Financed",0,93,"","Active",
"PU2-19","3C6UR5CL4HG780691",2017,"Dodge Ram 2500 Tradesman Crew Cab","InterCo",0,19,"","Active",20
